segmento_id,punto_id,nome_linea,x_studs,z_studs
33,21,Ferrovia Asti-Nizza Monferrato,63648.7,39329.49
33,22,Ferrovia Asti-Nizza Monferrato,63502.84,39270.5
33,23,Ferrovia Asti-Nizza Monferrato,63325.18,39200.11
33,24,Ferrovia Asti-Nizza Monferrato,63125.8,39120.43
33,25,Ferrovia Asti-Nizza Monferrato,63063.27,39093.32
33,26,Ferrovia Asti-Nizza Monferrato,63040.13,39080.73
33,27,Ferrovia Asti-Nizza Monferrato,63024.8,39071.76
33,28,Ferrovia Asti-Nizza Monferrato,62987.84,39047.46
34,0,Galleria Donghi,143475.82,99476.47
34,1,Galleria Donghi,143538.72,99692.37
34,2,Galleria Donghi,143606.61,99884.67
35,0,Ferrovia Succursale dei Giovi,143606.61,99884.67
35,1,Ferrovia Succursale dei Giovi,143650.26,100047.52
35,2,Ferrovia Succursale dei Giovi,143675.39,100253.56
35,3,Ferrovia Succursale dei Giovi,143675.72,100357.13
35,4,Ferrovia Succursale dei Giovi,143673.78,100401.57
35,5,Ferrovia Succursale dei Giovi,143665.99,100479.0
35,6,Ferrovia Succursale dei Giovi,143658.96,100537.93
35,7,Ferrovia Succursale dei Giovi,143647.45,100608.96
35,8,Ferrovia Succursale dei Giovi,143637.41,100655.85
35,9,Ferrovia Succursale dei Giovi,143623.58,100708.05
36,0,Galleria Cesino,144810.8,92888.41
36,1,Galleria Cesino,144761.71,92926.56
36,2,Galleria Cesino,144700.24,92966.55
36,3,Galleria Cesino,144633.56,93003.69
36,4,Galleria Cesino,144355.82,93139.15
36,5,Galleria Cesino,144315.58,93163.78
36,6,Galleria Cesino,144264.48,93197.92
37,0,Ferrovia Succursale dei Giovi,145313.06,92373.15
37,1,Ferrovia Succursale dei Giovi,145214.68,92493.65
37,2,Ferrovia Succursale dei Giovi,145122.95,92585.51
38,0,Galleria Rimessa,145469.19,91946.29
38,1,Galleria Rimessa,145458.16,92011.95
38,2,Galleria Rimessa,145441.69,92076.26
38,3,Galleria Rimessa,145401.15,92201.12
38,4,Galleria Rimessa,145361.21,92288.83
38,5,Galleria Rimessa,145339.49,92331.84
38,6,Galleria Rimessa,145313.06,92373.15
39,0,Ferrovia Succursale dei Giovi,145473.89,91867.85
39,1,Ferrovia Succursale dei Giovi,145469.19,91946.29
40,0,Galleria Piuma,145426.57,91542.32
40,1,Galleria Piuma,145447.7,91625.21
40,2,Galleria Piuma,145462.6,91706.99
40,3,Galleria Piuma,145471.47,91787.39
40,4,Galleria Piuma,145473.89,91867.85
41,0,Ferrovia Succursale dei Giovi,145316.67,91108.08
41,1,Ferrovia Succursale dei Giovi,145319.9,91128.87
41,2,Ferrovia Succursale dei Giovi,145365.92,91323.16
41,3,Ferrovia Succursale dei Giovi,145426.57,91542.32
42,0,Galleria Mignanego,145450.95,90403.78
42,1,Galleria Mignanego,145324.7,90861.17
43,0,Ferrovia Succursale dei Giovi,145678.56,89712.89
43,1,Ferrovia Succursale dei Giovi,145521.43,90176.91
43,2,Ferrovia Succursale dei Giovi,145450.95,90403.78
44,0,Galleria Fumeri,146869.67,88129.31
44,1,Galleria Fumeri,146651.14,88469.99
44,2,Galleria Fumeri,146624.23,88501.43
44,3,Galleria Fumeri,146597.0,88531.59
45,0,Ferrovia Succursale dei Giovi,146597.0,88531.59
45,1,Ferrovia Succursale dei Giovi,146472.49,88642.29
46,0,Galleria Barriera,146472.49,88642.29
46,1,Galleria Barriera,146322.07,88745.9
47,0,Galleria Orpea,146160.55,88860.43
47,1,Galleria Orpea,146025.7,88963.79
48,0,Ferrovia Succursale dei Giovi,146322.07,88745.9
48,1,Ferrovia Succursale dei Giovi,146160.55,88860.43
49,0,Galleria Croce,143458.4,97915.89
49,1,Galleria Croce,143359.04,98370.67
50,0,Ferrovia Succursale dei Giovi,143303.23,98814.76
50,1,Ferrovia Succursale dei Giovi,143312.73,98885.94
50,2,Ferrovia Succursale dei Giovi,143322.48,98958.19
50,3,Ferrovia Succursale dei Giovi,143340.93,99051.77
50,4,Ferrovia Succursale dei Giovi,143365.19,99146.43
50,5,Ferrovia Succursale dei Giovi,143380.21,99192.0
51,0,Ferrovia Succursale dei Giovi,143552.02,97503.13
51,1,Ferrovia Succursale dei Giovi,143527.35,97602.47
51,2,Ferrovia Succursale dei Giovi,143494.9,97754.05
51,3,Ferrovia Succursale dei Giovi,143458.4,97915.89
52,0,Ferrovia Succursale dei Giovi,143688.45,96014.42
52,1,Ferrovia Succursale dei Giovi,143685.82,96260.55
52,2,Ferrovia Succursale dei Giovi,143683.44,96536.24
52,3,Ferrovia Succursale dei Giovi,143682.76,96629.73
52,4,Ferrovia Succursale dei Giovi,143682.34,96685.91
52,5,Ferrovia Succursale dei Giovi,143680.67,96792.36
53,0,Galleria Poggio,143696.03,95019.71
53,1,Galleria Poggio,143690.8,95306.45
53,2,Galleria Poggio,143695.16,95552.77
54,0,Viadotto Vallefredda,143705.05,94337.09
54,1,Viadotto Vallefredda,143704.92,94466.59
55,0,Galleria Bacigalupo,143721.79,94089.81
55,1,Galleria Bacigalupo,143716.14,94113.08
55,2,Galleria Bacigalupo,143710.8,94139.43
55,3,Galleria Bacigalupo,143706.66,94174.46
55,4,Galleria Bacigalupo,143704.94,94212.39
55,5,Galleria Bacigalupo,143705.08,94298.05
56,0,Ferrovia Succursale dei Giovi,143827.43,93822.57
56,1,Ferrovia Succursale dei Giovi,143795.94,93888.06
56,2,Ferrovia Succursale dei Giovi,143750.1,93999.0
57,0,Ferrovia Succursale dei Giovi,144264.48,93197.92
57,1,Ferrovia Succursale dei Giovi,144241.91,93217.7
57,2,Ferrovia Succursale dei Giovi,144209.91,93249.68
57,3,Ferrovia Succursale dei Giovi,144183.64,93276.2
58,0,Ferrovia Succursale dei Giovi,145835.07,89251.33
58,1,Ferrovia Succursale dei Giovi,145782.74,89401.07
59,0,Viadotto Costagiuta,145782.74,89401.07
59,1,Viadotto Costagiuta,145678.56,89712.89
60,0,Ferrovia succursale dei Giovi,146896.02,88087.78
60,1,Ferrovia succursale dei Giovi,146869.67,88129.31
61,0,Galleria Riccò,146958.64,87992.13
61,1,Galleria Riccò,146896.02,88087.78
62,0,Ferrovia Succursale dei Giovi,147047.36,87874.14
62,1,Ferrovia Succursale dei Giovi,147030.56,87891.08
62,2,Ferrovia Succursale dei Giovi,147006.17,87920.5
62,3,Ferrovia Succursale dei Giovi,146985.26,87951.84
62,4,Ferrovia Succursale dei Giovi,146958.64,87992.13
63,0,Ferrovia Succursale dei Giovi,139994.16,58603.21
63,1,Ferrovia Succursale dei Giovi,140012.39,59009.97
63,2,Ferrovia Succursale dei Giovi,140016.57,59068.56
63,3,Ferrovia Succursale dei Giovi,140029.78,59168.25
64,0,Ferrovia Succursale dei Giovi,138567.85,28839.15
64,1,Ferrovia Succursale dei Giovi,138566.74,28745.09
64,2,Ferrovia Succursale dei Giovi,138570.1,28669.48
64,3,Ferrovia Succursale dei Giovi,138578.36,28585.77
65,0,,154186.96,12070.81
65,1,,154825.97,11642.61
66,0,Galleria San Biagio,143667.74,96973.92
66,1,Galleria San Biagio,143643.95,97111.87
66,2,Galleria San Biagio,143586.35,97364.85
67,0,Via Granarolo,143512.42,104823.02
67,1,Via Granarolo,143566.18,104888.76
68,0,Galleria Granarolo,143566.18,104888.76
68,1,Galleria Granarolo,143620.03,104956.23
68,2,Galleria Granarolo,143756.15,105126.8
68,3,Galleria Granarolo,143810.58,105201.14
68,4,Galleria Granarolo,143856.26,105268.53
68,5,Galleria Granarolo,143899.77,105334.59
68,6,Galleria Granarolo,143947.82,105412.93
68,7,Galleria Granarolo,143994.69,105504.43
68,8,Galleria Granarolo,144041.76,105601.7
68,9,Galleria Granarolo,144082.34,105691.05
68,10,Galleria Granarolo,144135.83,105812.38
68,11,Galleria Granarolo,144852.25,107497.01
68,12,Galleria Granarolo,144885.65,107569.65
68,13,Galleria Granarolo,144918.09,107628.55
68,14,Galleria Granarolo,144953.7,107681.97
68,15,Galleria Granarolo,144994.57,107734.4
68,16,Galleria Granarolo,145022.17,107767.07
68,17,Galleria Granarolo,145059.58,107806.02
68,18,Galleria Granarolo,145098.88,107841.51
68,19,Galleria Granarolo,145143.65,107877.38
68,20,Galleria Granarolo,145191.26,107911.18
68,21,Galleria Granarolo,145246.02,107940.95
68,22,Galleria Granarolo,145304.15,107969.64
68,23,Galleria Granarolo,145354.37,107991.86
68,24,Galleria Granarolo,145415.29,108013.56
68,25,Galleria Granarolo,145489.66,108033.68
68,26,Galleria Granarolo,145549.57,108046.45
68,27,Galleria Granarolo,145616.11,108054.88
68,28,Galleria Granarolo,145683.73,108058.41
68,29,Galleria Granarolo,145747.89,108057.41
68,30,Galleria Granarolo,145811.88,108051.49
68,31,Galleria Granarolo,145867.38,108044.2
68,32,Galleria Granarolo,145899.54,108038.29
68,33,Galleria Granarolo,145931.42,108030.65
69,0,,146302.11,107899.81
69,1,,146229.71,107924.95
69,2,,146214.34,107930.05
70,0,,146070.5,107980.59
70,1,,146122.93,107958.08
70,2,,146170.14,107936.62
70,3,,146210.23,107916.59
71,0,Ferrovia Succursale dei Giovi,146025.7,88963.79
71,1,Ferrovia Succursale dei Giovi,145987.17,89000.61
71,2,Ferrovia Succursale dei Giovi,145912.14,89096.81
72,0,Viadotto Paveto,145912.14,89096.81
72,1,Viadotto Paveto,145871.58,89174.58
72,2,Viadotto Paveto,145835.07,89251.33
73,0,Ferrovia Torino-Genova,145897.97,90444.68
73,1,Ferrovia Torino-Genova,145898.98,90362.62
74,0,Ferrovia Torino-Genova,146546.66,88829.14
74,1,Ferrovia Torino-Genova,146578.5,88803.53
74,2,Ferrovia Torino-Genova,146628.33,88756.58
74,3,Ferrovia Torino-Genova,146718.87,88657.96
74,4,Ferrovia Torino-Genova,146833.3,88534.45
74,5,Ferrovia Torino-Genova,146868.43,88491.03
74,6,Ferrovia Torino-Genova,146902.38,88443.98
74,7,Ferrovia Torino-Genova,146928.0,88401.18
74,8,Ferrovia Torino-Genova,146951.92,88355.69
74,9,Ferrovia Torino-Genova,147007.85,88238.49
74,10,Ferrovia Torino-Genova,147103.49,88042.3
74,11,Ferrovia Torino-Genova,147126.04,88000.19
74,12,Ferrovia Torino-Genova,147174.83,87929.85
74,13,Ferrovia Torino-Genova,147196.83,87906.22
74,14,Ferrovia Torino-Genova,147220.61,87881.08
74,15,Ferrovia Torino-Genova,147244.52,87857.95
75,0,Galleria Armirotti,145555.05,92628.0
75,1,Galleria Armirotti,145571.2,92596.73
75,2,Galleria Armirotti,145628.71,92477.31
76,0,Ferrovia Torino-Genova,145915.59,91611.14
76,1,Ferrovia Torino-Genova,145906.68,91493.38
76,2,Ferrovia Torino-Genova,145890.21,91325.78
76,3,Ferrovia Torino-Genova,145884.1,91263.12
76,4,Ferrovia Torino-Genova,145881.69,91210.03
